SiPM,CN,pin,TOFPET,CHANNEL,comment
1,4,9,0,62,
2,4,10,0,60,
3,4,11,0,58,small
4,4,12,0,56,
5,4,13,0,54,
6,4,14,0,52,small
7,4,15,0,50,
8,4,16,0,48,
9,4,17,0,46,
10,4,18,0,44,
11,4,19,0,42,small
12,4,20,0,40,
13,4,21,0,38,
14,4,22,0,36,small
15,4,23,0,34,
16,4,24,0,32,
17,4,25,0,30,
18,4,26,0,28,
19,4,27,0,26,small
20,4,28,0,24,
21,4,41,1,62,
22,4,42,1,60,small
23,4,43,1,58,
24,4,44,1,56,
25,4,45,1,54,
26,4,46,1,52,
27,4,47,1,50,small
28,4,48,1,48,
29,4,49,1,46,
30,4,50,1,44,small
31,4,51,1,42,
32,4,52,1,40,
33,4,53,1,38,
34,4,54,1,36,
35,4,55,1,34,small
36,4,56,1,32,
37,4,57,1,30,
38,4,58,1,28,small
39,4,59,1,26,
40,4,60,1,24,
41,3,9,0,63,
42,3,10,0,61,
43,3,11,0,59,small
44,3,12,0,57,
45,3,13,0,55,
46,3,14,0,53,small
47,3,15,0,51,
48,3,16,0,49,
49,3,17,0,47,
50,3,18,0,45,
51,3,19,0,43,small
52,3,20,0,41,
53,3,21,0,39,
54,3,22,0,37,small
55,3,23,0,35,
56,3,24,0,33,
57,3,25,0,31,
58,3,26,0,29,
59,3,27,0,27,small
60,3,28,0,25,
61,3,41,1,63,
62,3,42,1,61,small
63,3,43,1,59,
64,3,44,1,57,
65,3,45,1,55,
66,3,46,1,53,
67,3,47,1,51,small
68,3,48,1,49,
69,3,49,1,47,
70,3,50,1,45,small
71,3,51,1,43,
72,3,52,1,41,
73,3,53,1,39,
74,3,54,1,37,
75,3,55,1,35,small
76,3,56,1,33,
77,3,57,1,31,
78,3,58,1,29,small
79,3,59,1,27,
80,3,60,1,25,